0,13,13,13,27,27,27,27,27,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
13,0,13,13,27,27,27,27,27,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
13,13,0,6,27,27,27,27,27,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
13,13,6,0,27,27,27,27,27,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
27,27,27,27,0,27,27,27,27,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
27,27,27,27,27,0,21,21,21,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
27,27,27,27,27,21,0,17,17,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
27,27,27,27,27,21,17,0,12,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
27,27,27,27,27,21,17,12,0,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
31,31,31,31,31,31,31,31,31,0,23,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
31,31,31,31,31,31,31,31,31,23,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42
32,32,32,32,32,32,32,32,32,32,32,0,12,12,13,13,13,13,13,13,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,12,0,6,13,13,13,13,13,13,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,12,6,0,13,13,13,13,13,13,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,13,13,13,0,10,10,10,10,10,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,13,13,13,10,0,6,8,9,10,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,13,13,13,10,6,0,8,9,10,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,13,13,13,10,8,8,0,9,10,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,13,13,13,10,9,9,9,0,10,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,13,13,13,10,10,10,10,10,0,14,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,14,14,14,14,14,14,14,14,14,0,15,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,15,15,15,15,15,15,15,15,15,15,0,18,18,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,18,18,18,18,18,18,18,18,18,18,18,0,11,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,18,18,18,18,18,18,18,18,18,18,18,11,0,20,20,20,20,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,20,20,20,0,8,8,14,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
32,32,32,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,20,20,20,8,0,4,14,24,24,24,24,24,24,24,24,25,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,42
