255,255,255,89,89,89,89,255,255,255,89,89,89,89,255,255,255,89,89,89,89,255,255,255,89,89,89,89,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,104,104,104,104,255,255,255,104,104,104,104,255,255,255,104,104,104,104,255,255,255,104,104,104,104,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,99,99,99,99,255,255,255,99,99,99,99,255,255,255,99,99,99,99,255,255,255,99,99,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,207,207,207,207,255,255,255,207,207,207,207,255,255,255,207,207,207,207,255,255,255,207,207,207,207,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,109,109,109,109,255,255,255,109,109,109,109,255,255,255,109,109,109,109,255,255,255,109,109,109,109,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,221,221,221,221,255,255,255,221,221,221,221,255,255,255,221,221,221,221,255,255,255,221,221,221,221,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,67,67,67,67,255,255,255,67,67,67,67,255,255,255,67,67,67,67,255,255,255,67,67,67,67,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,40,40,40,40,255,255,255,40,40,40,40,255,255,255,40,40,40,40,255,255,255,40,40,40,40,255,255,255,146,146,146,146,255,255,255,146,146,146,146,255,255,255,146,146,146,146,1
255,255,255,146,146,146,146,255,255,255,146,146,146,146,255,255,255,146,146,146,146,255,255,255,146,146,146,146,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,18,18,18,18,255,255,255,18,18,18,18,255,255,255,18,18,18,18,255,255,255,18,18,18,18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
255,255,255,173,173,173,173,255,255,255,173,173,173,173,255,255,255,173,173,173,173,255,255,255,173,173,173,173,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
